country,import_value_usd,partner_tid
Angola,18911371439.0,128090
Guinea,6413882561.0,128204
Congo,5451977722.0,128142
Zambia,4295694082.0,128374
Gabon,3073135722.0,128192
Nigeria,2374684351.0,128272
Libya,2199300767.0,128237
Ghana,1820338116.0,128196
Mozambique,1770862046.0,128259
Zimbabwe,1689606049.0,128376
Mauritania,1189729451.0,128250
Morocco,979878060.0,128258
Sudan,882016368.0,128378
Egypt,881336270.0,128161
Algeria,846611118.0,128086
Chad,823398371.0,128135
Namibia,747868899.0,128261
Tanzania,688014039.0,128340
Cameroon,517172198.0,128129
Botswana,495254123.0,128115
Ethiopia,435951627.0,128166
Eritrea,354613588.0,128164
Senegal,341375346.0,128316
Niger,311732929.0,128271
Madagascar,282564797.0,128242
Tunisia,245224333.0,128348
Kenya,227690721.0,128226
Togo,168666988.0,128344
Rwanda,131177027.0,128302
Djibouti,119217651.0,128155
Benin,98443912.0,128110
Liberia,85379695.0,128236
Mali,78558299.0,128246
Uganda,69668056.0,128353
Gambia,39421898.0,128193
Lesotho,26564023.0,128235
Mauritius,22555162.0,128251
Malawi,14211309.0,128243
Burundi,9530330.0,128125
Somalia,6718875.0,128327
Seychelles,4846194.0,128319
Comoros,65492.0,128141
