country,import_value_usd,partner_tid,country_applied_weighted_mean_tariff_pct,tariff_year
Angola,18911371439.0,128090,8.85,2022
Guinea,6413882561.0,128204,12.6,2022
Congo,5451977722.0,128142,18.18,2022
Zambia,4295694082.0,128374,4.08,2022
Gabon,3073135722.0,128192,16.57,2022
Nigeria,2374684351.0,128272,9.34,2022
Libya,2199300767.0,128237,4.03,2021
Ghana,1820338116.0,128196,12.51,2022
Mozambique,1770862046.0,128259,4.19,2021
Zimbabwe,1689606049.0,128376,11.37,2021
Mauritania,1189729451.0,128250,8.68,2022
Morocco,979878060.0,128258,4.23,2021
Sudan,882016368.0,128378,0,2021
Egypt,881336270.0,128161,10.43,2019
Algeria,846611118.0,128086,9.25,2022
Chad,823398371.0,128135,,
Namibia,747868899.0,128261,3.58,2022
Tanzania,688014039.0,128340,8.64,2022
Cameroon,517172198.0,128129,18.08,2022
Botswana,495254123.0,128115,3.23,2022
Ethiopia,435951627.0,128166,12.66,2021
Eritrea,354613588.0,128164,5.43,2006
Senegal,341375346.0,128316,8.4,2022
Niger,311732929.0,128271,8.36,2022
Madagascar,282564797.0,128242,8.74,2022
Tunisia,245224333.0,128348,9.35,2016
Kenya,227690721.0,128226,11.7,2022
Togo,168666988.0,128344,13.56,2022
Rwanda,131177027.0,128302,11.11,2022
Djibouti,119217651.0,128155,,
Benin,98443912.0,128110,10.16,2022
Liberia,85379695.0,128236,,
Mali,78558299.0,128246,8.9,2022
Uganda,69668056.0,128353,7.86,2022
Gambia,39421898.0,128193,,
Lesotho,26564023.0,128235,3.36,2022
Mauritius,22555162.0,128251,1.2,2022
Malawi,14211309.0,128243,5.95,2021
Burundi,9530330.0,128125,,
Somalia,6718875.0,128327,,
Seychelles,4846194.0,128319,1.27,2022
Comoros,65492.0,128141,,
